NASAThes URI:	NASAThes term	Similarity	SWEET term	SWEET URI
http://synaptica.net/zthes/38737	ascent	1.00	ascent	http://sweetontology.net/humantransportation/ascent
http://synaptica.net/zthes/60725	aspect ratio	1.00	aspect ratio	http://sweetontology.net/propdimensionlessratio/aspectratio
http://synaptica.net/zthes/38765	assimilation	1.00	assimilation	http://sweetontology.net/phenbiol/assimilation
http://synaptica.net/zthes/38765	assimilation	1.00	assimilation	http://sweetontology.net/reprdataserviceanalysis/assimilation
http://synaptica.net/zthes/64525	asteroseismology	1.00	asteroseismology	http://sweetontology.net/phenstar/asteroseismology
http://synaptica.net/zthes/60736	asthenosphere	1.00	asthenosphere	http://sweetontology.net/realmgeol/asthenosphere
http://synaptica.net/zthes/38816	asymmetry	1.00	asymmetry	http://sweetontology.net/statespaceconfiguration/asymmetry
http://synaptica.net/zthes/38830	atlantic ocean	1.00	atlantic ocean	http://sweetontology.net/realmoceanfeature/atlanticocean
http://synaptica.net/zthes/38846	atmospheric boundary layer	1.00	atmospheric boundary layer	http://sweetontology.net/realmatmoboundarylayer/atmosphericboundarylayer
http://synaptica.net/zthes/60751	atmospheric circulation	1.00	atmospheric circulation	http://sweetontology.net/phenatmowind/atmosphericcirculation
http://synaptica.net/zthes/60759	atmospheric pressure	1.00	atmospheric pressure	http://sweetontology.net/proppressure/atmosphericpressure
http://synaptica.net/zthes/182389	atomic mass	1.00	atomic mass	http://sweetontology.net/relachemical/atomicmass
http://synaptica.net/zthes/60771	attenuation	1.00	attenuation	http://sweetontology.net/procwave/attenuation
http://synaptica.net/zthes/60805	autumn	1.00	autumn	http://sweetontology.net/reprtimeseason/autumn
http://synaptica.net/zthes/39020	average	1.00	average	http://sweetontology.net/propfunction/average
http://synaptica.net/zthes/182413	aviation	1.00	aviation	http://sweetontology.net/humantransportation/aviation
http://synaptica.net/zthes/60812	azimuth	1.00	azimuth	http://sweetontology.net/propspacedirection/azimuth
http://synaptica.net/zthes/60818	backscattering	1.00	backscattering	http://sweetontology.net/procwave/backscattering
http://synaptica.net/zthes/39083	backwash	1.00	backwash	http://sweetontology.net/phenoceancoastal/backwash
http://synaptica.net/zthes/39084	bacteria	1.00	bacteria	http://sweetontology.net/matrmicrobiota/bacteria
http://synaptica.net/zthes/39101	balance	1.00	balance	http://sweetontology.net/statesystem/balance
http://synaptica.net/zthes/60827	ball lightning	1.00	ball lightning	http://sweetontology.net/phenatmolightning/balllightning
http://synaptica.net/zthes/39135	bandwidth	1.00	bandwidth	http://sweetontology.net/proptimefrequency/bandwidth
http://synaptica.net/zthes/182439	barometric pressure	1.00	barometric pressure	http://sweetontology.net/proppressure/barometricpressure
http://synaptica.net/zthes/39175	basalt	1.00	basalt	http://sweetontology.net/matrrockigneous/basalt
http://synaptica.net/zthes/60848	base flow	1.00	base flow	http://sweetontology.net/phenhydro/baseflow
