GCMD UID	GCMD term	Similarity	SWEET term	SWEET IRI
ebce0874-7635-4094-8ef4-968851873771	convection	1.00	convection	http://sweetontology.net/phenfluidtransport/convection
ec9e0b6a-1315-4569-93bc-0f1190bb8c08	scattering	1.00	scattering	http://sweetontology.net/procwave/scattering
fa98caa0-54dc-465e-9bde-cdf4da905994	pressure tendency	1.00	pressure tendency	http://sweetontology.net/proppressure/pressuretendency
fd19a3f1-8eeb-49ab-bcaf-e7b4b267d415	virtual temperature	1.00	virtual temperature	http://sweetontology.net/proptemperature/virtualtemperature
ecf29317-bd5e-447b-b911-f8bfb153c83b	calibration	1.00	calibration	http://sweetontology.net/reprdataservicevalidation/calibration
b283a59c-0e9a-469c-baf4-591b64cd4671	validation	1.00	validation	http://sweetontology.net/humanresearch/validation
b283a59c-0e9a-469c-baf4-591b64cd4671	validation	1.00	validation	http://sweetontology.net/reprdataservicevalidation/validation
c75db4f8-716c-47a8-a2f4-34e5a48296b0	archiving	1.00	archiving	http://sweetontology.net/reprdataproduct/archiving
e8e3ba6c-599e-4d7d-b498-93b15c32d820	interpolation	1.00	interpolation	http://sweetontology.net/reprdataserviceanalysis/interpolation
07291e32-fd39-45e8-a603-7443cb780976	data mining	1.00	data mining	http://sweetontology.net/reprdataservicereduction/datamining
8f9d66e9-f65d-41c6-9640-90bd3e155bf8	geomagnetism	1.00	geomagnetism	http://sweetontology.net/phenhelio/geomagnetism
f342683b-94ee-4ef6-8915-b18a473fafbd	volcanic activity	1.00	volcanic activity	http://sweetontology.net/phengeolvolcano/volcanicactivity
3678d18c-9dca-4743-abc0-1442b4d438d2	drought	1.00	drought	http://sweetontology.net/phenplanetclimate/drought
9a583e74-34e9-4eb5-af7a-03418d702af6	water quality	1.00	water quality	http://sweetontology.net/phenenvirimpact/waterquality
a4aea007-d297-4051-8b41-5cdde00b4d1e	sea ice	1.00	sea ice	http://sweetontology.net/realmcryo/seaice
f04be06d-5976-43d0-94cb-91d5c487d57c	sea state	1.00	sea state	http://sweetontology.net/propspaceheight/seastate
b40d8d03-6286-48cd-818c-20d1680d6453	coronal mass ejection	1.00	coronal mass ejection	http://sweetontology.net/phenstar/coronalmassejection
ed49aea3-c1ce-4522-985b-1b1b2b2c7790	geomagnetic storm	1.00	geomagnetic storm	http://sweetontology.net/phenhelio/geomagneticstorm
49c8e881-7100-42cf-9c2e-48f2012e5671	air quality	1.00	air quality	http://sweetontology.net/phenatmosky/airquality
49c8e881-7100-42cf-9c2e-48f2012e5671	air quality	1.00	air quality	http://sweetontology.net/phenenvirimpact/airquality
0451cbfb-3c46-4afe-b02d-456beabd89a6	weather forecast	1.00	weather forecast	http://sweetontology.net/reprscimodel/weatherforecast
ac44c9c0-d0f1-4f25-b016-b57ca51d511e	gazetteer	1.00	gazetteer	http://sweetontology.net/reprdataservicegeospatial/gazetteer
8916dafb-5ad5-45c6-ab64-3500ea1e9577	aquaculture	1.00	aquaculture	http://sweetontology.net/humanagriculture/aquaculture
a756fd6b-6208-4af0-ac56-6ee914fc4597	irrigation	1.00	irrigation	http://sweetontology.net/humanagriculture/irrigation
2c31fc22-747a-476f-b76d-fec61220b5b1	apiculture	1.00	apiculture	http://sweetontology.net/humanagriculture/apiculture
06053150-d796-477b-b305-292442d658ed	sericulture	1.00	sericulture	http://sweetontology.net/humanagriculture/sericulture
be7f6de0-f51e-42bc-9a66-fff30d809a67	reforestation	1.00	reforestation	http://sweetontology.net/humanenvircontrol/reforestation
7367c08c-304f-4ce7-b716-975f835ba711	calcium	1.00	calcium	http://sweetontology.net/matrelement/calcium
9315c474-b65f-400d-beba-611c9a6a62cb	carbon	1.00	carbon	http://sweetontology.net/matrelement/carbon
5c05e69f-f6db-4296-abd3-3b07e6093579	cation exchange capacity	1.00	cation exchange capacity	http://sweetontology.net/propcharge/cationexchangecapacity
7241d799-4f5c-4ae3-a4ec-2e9cdbf656aa	electrical conductivity	1.00	electrical conductivity	http://sweetontology.net/propconductivity/electricalconductivity
7112e739-cb5d-427e-95bd-5419360e91d8	hydraulic conductivity	1.00	hydraulic conductivity	http://sweetontology.net/propconductivity/hydraulicconductivity
60992683-3183-4510-9fce-e4611115315c	iron	1.00	iron	http://sweetontology.net/matrelement/iron
79f18259-bd76-4c7b-bd18-cbd2edafd24f	magnesium	1.00	magnesium	http://sweetontology.net/matrelement/magnesium
